,sku,post_status,product_title,short_description,description,featured_image,price,sale_price,in_stock,Stock,sale_price_dates_from,sale_price_dates_to,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight,Length,Width,Height (cm),category,tag
13,AEROHIVE SR2148P-POE+,1,AEROHIVE Managed SR2148P-POE+,," <h1>
  AEROHIVE Managed SR2148P-POE+
 </h1>
 <p>
  <img alt=""AEROHIVE Managed SR2148P-POE+"" class=""alignnone size-medium wp-image-9099"" height=""72"" loading=""lazy"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://refurbish.ae/wp-content/uploads/2020/12/AEROHIVE-Managed-SR2148P-POE-300x72.jpg"" srcset=""https://refurbish.ae/wp-content/uploads/2020/12/AEROHIVE-Managed-SR2148P-POE-300x72.jpg 300w, https://refurbish.ae/wp-content/uploads/2020/12/AEROHIVE-Managed-SR2148P-POE.jpg 600w"" width=""300""/>
 </p>
 <p>
  Aerohive SR2148P
  <br/>
  Cloud-enabled enterprise-class gigabit access switch
  <br/>
  with PoE+, 802.1X, and QoS
 </p>
 <p>
  The Aerohive SR2148P is a high-performance 52 port switch with 48 ports 802.3at PoE+ and 4 additional 10-Gigabit SFP/SFP+ ports
 </p>
 <p>
  Tested and well maintained by a professional team, working in A Grade condition.
 </p>
 <p>
  <a href=""https://refurbished.ae/"">
   Refurbished.ae
  </a>
  is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling, etc. We also provide online corporate training and IT support services. For enquiries please contact us on 971-504086561.
 </p>
</div>",https://refurbish.ae/wp-content/uploads/2020/12/AEROHIVE-Managed-SR2148P-POE-1.jpg,0,,1,,,,0,,0,0,,,,,"Uncategorized, ",
14,AG647A,1,AG647A,," <p>
  24-Port Fabric Switch with 16 4-Gbps ports 2xAC
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cards & Module, ","cisco, switches, "
15,AHF-2DC-3000W-P2,1,AHF-2DC-3000W-P2,," <p>
  Nexus 9500 3000W AC PS, Cold Air In
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cards & Module, ","cisco, Parts, "
16,AIR-ANT2430V-R,1,AIR-ANT2430V-R,," <p>
  Ant/2.4-GHz 3 dBi Trip Omni 3 RP-TNC-Sp
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
17,AIR-ANT2451NV-R,1,AIR-ANT2451NV-R,," <p>
  CISCO 2.5dBi 2.4, 3.5 dBi 5GHz ANTENNA
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
18,AIR-AP1852I-E-K9,1,AIR-AP1852I-E-K9,," <p>
  Wireless Access Point 802.11/a/g/n/ac
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
19,AIR-AP2802I-E-K9,1,AIR-AP2802I-E-K9,," <p>
  802.11ac W2 w/CA; 4×4:3; Int Ant; Controller based
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
20,AIR-CAP1602I-E-K9,1,AIR-CAP1602I-E-K9,," <p>
  Access Point/802.11a/g/n Ctrlr-based Int
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
21,AIR-CAP1702I-E-K9,1,AIR-CAP1702I-E-K9,," <p>
  dual-band, controller-based 802.11a/g/n/ac
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
22,AIR-CAP2602E-E-K9,1,AIR-CAP2602E-E-K9,," <p>
  Aironet 2602e Controllbased AccPoint, clean tested
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
23,AIR-CAP2702I-E-K9,1,AIR-CAP2702I-E-K9,," <p>
  Dual-band, controller-based 802.11a/g/n/ac
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
24,AIR-CAP3502I-E-K9,1,AIR-CAP3502I-E-K9,," <p>
  802.11a/g/n Ctrlr-based AP with wallmountkit
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
25,AIR-CAP3602E-E-K9,1,AIR-CAP3602E-E-K9,," <p>
  Cisco Aironet 3602e 1000Mbit/s White WLAN no ant.
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
26,AIR-CAP3602I-E-K9,1,AIR-CAP3602I-E-K9,," <p>
  3602I Wireless access point – 802.11a/b/g/n – Dual
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
27,AIR-CAP3702I-B-K9,1,AIR-CAP3702I-B-K9,," <p>
  802.11ac Ctrlr AP 4×4:3SS w/CleanAir; Int Ant; B
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
28,AIR-CAP3702I-E-K9,1,AIR-CAP3702I-E-K9,," <p>
  802.11ac Ctrlr AP 4×4:3SS w/CleanAir
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
29,AIR-CT5508-100-K9,1,AIR-CT5508-100-K9,," <p>
  5508 Series Wireless Controller 100 AP
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
30,AIR-CT5508-25-K9,1,AIR-CT5508-25-K9,," <p>
  5508  Wireless Contr for up to 25 LAP 1 x AC
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
31,AIR-CT5508-250-K9,1,AIR-CT5508-250-K9,," <p>
  5508 Series Wireless Controller 250 AP
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
32,AIR-LAP1142N-E-K9,1,AIR-LAP1142N-E-K9,," <p>
  802.11a/g/n Fixed Accespoint ask 4 Wallmountkit !!
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
33,AIR-LAP1262N-E-K9,1,AIR-LAP1262N-E-K9,," <p>
  802.11a/g/n Ctrlr-based AP Ext Ant E w/Wallmount
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
34,AIR-PWR-5500-AC,1,AIR-PWR-5500-AC,," <p>
  WLAN Controller AC POWER
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
35,AIR-RM3010L-E-K9,1,AIR-RM3010L-E-K9,," <p>
  Hyperlocation Mod. Advance Security Reg. Domain-E
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
36,AIR-SAP1602I-E-K9,1,AIR-SAP1602I-E-K9,," <p>
  Access Point/802.11a/g/n Ctrlr-based Int
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
37,AIR-WLC4402-25-K9,1,AIR-WLC4402-25-K9,," <p>
  4400 Series WLAN Controller for up to 25
 </p>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Cisco, Wireless, ","cisco, wireless, "
38,VPN Firewall Brick 1200,1,Alcatel-Lucent 109625772 VPN FIREWALL BRICK 1200," <p>
  ALCATEL-LUCENT
 </p>
</div>"," <h1>
  Alcatel-Lucent VPN Firewall Brick 1200 – security appliance
 </h1>
 <div class=""techGroup row"">
  <div class=""col-4"">
  </div>
 </div>
 <div class=""techGroup row"">
  <h2 class=""col-4"">
   Networking
  </h2>
  <ul class=""col-8"">
   <li>
    <div class=""col-4"">
     Ports Qty
    </div>
    <div class=""col-4"">
     14
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Network / Transport Protocol
    </div>
    <div class=""col-4"">
     IPSec, PPPoE
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Features
    </div>
    <div class=""col-4"">
     BOOTP support, DHCP support, PAT support, Quality of Service (QoS), STAC-LZS compression, URL filtering, VLAN support, VPN support, anti-spam protection, antivirus analysis, content filtering, event log, DiffServ support, firewall protection, hardware encryption, DoS attack prevention, High Availability, IP-routing, IPSec NAT-Traversal (NAT-T), Intrusion Detection System (IDS), LDAP support, NAT support
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Routing Protocol
    </div>
    <div class=""col-4"">
     RIP-1, RIP-2, static IP routing
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Data Link Protocol
    </div>
    <div class=""col-4"">
     Ethernet, Fast Ethernet, Gigabit Ethernet
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Compliant Standards
    </div>
    <div class=""col-4"">
     IEEE 802.1Q
    </div>
   </li>
   <li>
    <div class=""col-4"">
     Connectivity Technology
    </div>
    <div class=""col-4"">
     wired
    </div>
   </li>
  </ul>
  <p>
   Tested and well maintained by a professional team, working in A Grade condition.
  </p>
  <p>
   <a href=""https://refurbished.ae/"">
    Refurbished.ae
   </a>
   is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling, etc. We also provide online corporate training and IT support services. For enquiries please contact us on 971-504086561.
  </p>
 </div>
</div>",https://refurbish.ae/wp-content/uploads/2020/08/index.jpg,0,,1,,,,0,,0,0,,,,,"Switches, ",
39,7750 SR-C12,1,Alcatel-Lucent 7750 SR-C12," <p>
  ALCATEL-LUCENT
 </p>
</div>"," <h2>
  Alcatel-Lucent 7750 SR-C12
 </h2>
 <h3>
  Router chassis*1,CFM-XP*2,7750 SR-C12 AC-PEM3*2,FAN*1，CCM-XP*1,C5-1GB-XP-SFP*5
 </h3>
 <div>
  Alcatel-Lucent 7750 SR multiservice edge routers have been designed from inception to deliver differentiated,
 </div>
 <div>
  high-performance, high availability services. With platform capacities ranging from 90 Gb/s to 2 Tb/s, specialized service-aware application processing, advanced quality of service (QoS), and a comprehensive range of
 </div>
 <div>
  Ethernet and multiservice interfaces and protocols, the 7750 SR provides industry-leading scale and intelligence
 </div>
 <div>
  to deliver residential, business, and wireless broadband IP services on a converged edge routing platform.
 </div>
 <div>
 </div>
 <div>
  Refurbished.ae is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling, etc. We also provide online corporate training and IT support services. For enquires please contact us on (+971) 56 109 8656.
 </div>
</div>",https://refurbished.ae/wp-content/uploads/2021/06/logo-vertical.png,0,,1,,,,0,,0,0,,,,,"Uncategorized, ",
40,,1,Arista DCS-7120T-4S-F 20x RJ45 1/10GBASE-T 4x SFP+ F-R Air Switch 2x AC PSU," <h1 class=""product_title entry-title"">
  Arista DCS-7120T-4S-F 20x RJ45 1/10GBASE-T 4x SFP+ F-R Air Switch 2x AC PSU
 </h1>
 <p>
 </p>
 <p>
  Tested and well maintained by professional team, Working in A grade condition.
 </p>
 <div class=""electro-description clearfix"">
  <div class=""electro-description clearfix"">
   <p>
    Refurbished.ae is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling etc. We also provide online corporate training and IT support services. For inquiries please contact us on 971-504086561.
   </p>
  </div>
 </div>
 <div class=""product_meta"">
 </div>
 <p>
 </p>
</div>"," <div class=""electro-description clearfix"">
  <p>
   Refurbished.ae is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling etc. We also provide online corporate training and IT support services. For inquiries please contact us on 971-504086561.
  </p>
 </div>
</div>",https://refurbish.ae/wp-content/uploads/2021/06/img_dcs-7120t-4s_3_4.jpg,0,,0,,,,0,,0,0,,,,,"Arista, ",
41,,1,Arista Managed DCS-7050-128-R  |  Arista," <p>
  ARISTA MANAGED DCS-7050SX-128-R
 </p>
</div>"," <h1>
  Arista Managed DCS-7050-128-R
 </h1>
 <p>
 </p>
 <p>
  <img alt=""ARISTA MANAGED DCS-7050SX-128-R"" class=""size-full wp-image-8704"" height=""240"" loading=""lazy"" sizes=""(max-width: 240px) 100vw, 240px"" src=""https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7050SX-128-R.png"" srcset=""https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7050SX-128-R.png 240w, https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7050SX-128-R-100x100.png 100w, https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7050SX-128-R-150x150.png 150w"" width=""240""/>
 </p>
 <p>
  Arista Managed DCS-7050-128-R
 </p>
 <p>
  <strong>
   <span style=""font-size: 16px;"">
    E-PORTS: –
   </span>
  </strong>
 </p>
 <p>
  <strong>
   SFP- PORTS: 104
  </strong>
 </p>
 <p>
  <strong>
   TYPE: MANAGED
  </strong>
 </p>
 <h5 class=""mceTemp"">
  DCS-7050SX-128-R
  <br/>
  Arista 7050X, 96x10GbE (SFP+) &amp; 8 SFP switch, rear-to-front air, 2xAC
  <br/>
  DCS-7050SX2-128-R
  <br/>
  Arista 7010X2, 96xRJ45 (SFP+) &amp; 8 SFP switch, rear-to-front air, 2xAC
 </h5>
 <p>
  Tested and well maintained by Professional Team, Working in A Grade condition.
 </p>
 <p>
  Refurbished.ae is one of the leading and highly demanding
  <a href=""https://en.wikipedia.org/wiki/E-commerce"" rel=""noopener"" target=""_blank"">
   E-commerce
  </a>
  sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling, etc. We also provide online corporate training and IT support services. For enquiries please contact us on 971-504086561. more
  <a href=""https://refurbish.ae/?product=cisco-sg500-28p-k9-28-port-poe-stackable-managed-switch"" rel=""noopener"" target=""_blank"">
   switch
  </a>
 </p>
 <p>
 </p>
 <p>
 </p>
 <p>
 </p>
 <p>
 </p>
</div>",https://refurbish.ae/wp-content/uploads/2020/12/arista-dcs-7050sx-128-f-6485.png,0,,1,,,,0,,0,0,,,,,"Arista, Switches, ","Arista, switches, "
42,,1,Arista Managed DCS-7148SX-R," <p>
  ARISTA MANAGED DCS-7148SX-R
 </p>
</div>"," <div class=""electro-description clearfix"">
  <h1>
   ARISTA MANAGED DCS-7148SX-R
  </h1>
  <p>
   <img alt=""ARISTA MANAGED DCS-7148SX-R"" class=""size-medium wp-image-8700 aligncenter"" height=""139"" loading=""lazy"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7148SX-R-300x139.jpg"" srcset=""https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7148SX-R-300x139.jpg 300w, https://refurbish.ae/wp-content/uploads/2020/12/ARISTA-MANAGED-DCS-7148SX-R.jpg 337w"" width=""300""/>
  </p>
  <p>
   ARISTA MANAGED DCS-7148SX-R
  </p>
  <table class=""a-keyvalue prodDetTable"" id=""productDetails_detailBullets_sections1"" role=""presentation"" style=""height: 179px;"" width=""817"">
   <tbody>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      Product Dimensions
     </th>
     <td class=""a-size-base"">
      21 x 18 x 2 inches
     </td>
    </tr>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      Item Weight
     </th>
     <td class=""a-size-base"">
      29 pounds
     </td>
    </tr>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      Manufacturer
     </th>
     <td class=""a-size-base"">
      Arista Networks
     </td>
    </tr>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      ASIN
     </th>
     <td class=""a-size-base"">
      B00E6TPYO8
     </td>
    </tr>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      Best Sellers Rank
     </th>
     <td>
      #11,022 in
      <a href=""https://www.amazon.com/gp/bestsellers/pc/281414/ref=pd_zg_hrsr_pc"">
       Computer Networking Switches
      </a>
     </td>
    </tr>
    <tr>
     <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
      Is Discontinued By Manufacturer
     </th>
     <td class=""a-size-base"">
      No
     </td>
    </tr>
   </tbody>
  </table>
  <p>
   <a href=""https://refurbish.ae/?product=arista-managed-dcs-7050sx-128-r&amp;preview=true"" rel=""noopener"" target=""_blank"">
    Arista
   </a>
   7148SX, 48-port L2/3/4 switch (5 rear-to-front airflow fans) &amp; 2 650W AC (SFPs optional).
  </p>
  <p>
   Ethernet ports – 48
  </p>
  <p>
   SFP Ports         –  4
  </p>
  <p>
   Device Type     – Managed
  </p>
  <p>
   The ARISTA MANAGED DCS-7148SX-R is the leading ultra-low latency 1RU platform providing a unique combination of performance, advanced features, and a balanced set of resources for low latency financial markets, HPC clusters, and virtualized data centers.
  </p>
  <p>
   Tested and well maintained by a professional team, working in A Grade condition.
  </p>
  <p>
   Refurbished.ae is one of the leading and highly demanding E-commerce sites all over the globe. We sell all IT Infrastructure products like Racks, Cables, Servers, Storage Devices, Network Devices, Security Devices, desktop, Cabling etc. We also provide online corporate training and IT support services. For enquiries please contact us on 971-504086561.
  </p>
 </div>
</div>",https://refurbish.ae/wp-content/uploads/2020/12/Untitled-1-1.png,0,,1,,,,0,,0,0,,,,,"Arista, Switches, ","Arista, switches, "
